(-73.9873, 40.7448)	177
(-73.9787, 40.7829)	178
(-73.943, 40.8027)	179
(-74.001, 40.7186)	180
(-73.9468, 40.7805)	181
(-73.9825, 40.7607)	182
(-73.9751, 40.6502)	183
(-73.9466, 40.7807)	184
(-73.9694, 40.7612)	185
(-73.9392, 40.7952)	186
(-73.9787, 40.7532)	187
(-73.9618, 40.7759)	188
(-74.0198, 40.6293)	189
(-73.8596, 40.8361)	190
(-73.9939, 40.7484)	191
(-73.9675, 40.7602)	192
(-73.9675, 40.6977)	193
(-73.974, 40.6861)	194
(-73.9853, 40.7568)	195
(-73.9618, 40.779)	196
(-73.9494, 40.7143)	197
(-73.9494, 40.7768)	198
(-73.942, 40.7913)	199
(-73.9939, 40.7515)	200
(-73.9855, 40.7706)	201
(-74.0038, 40.7475)	202
(-73.979, 40.7525)	203
(-73.9901, 40.744)	204
(-73.9817, 40.7631)	205
(-73.9912, 40.7549)	206
(-73.9542, 40.764)	207
(-73.9855, 40.7409)	208
(-73.9912, 40.6924)	209
(-73.9853, 40.7599)	210
(-74.0049, 40.7287)	211
(-73.9901, 40.7143)	212
(-73.9901, 40.7768)	213
(-73.9817, 40.6709)	214
(-73.9703, 40.7891)	215
(-73.9617, 40.7647)	216
(-73.9768, 40.7775)	217
(-74.0163, 40.7164)	218
(-73.9779, 40.7884)	219
(-73.9703, 40.7594)	220
(-73.9815, 40.6602)	221
(-73.9619, 40.716)	222
(-74.0199, 40.6319)	223
(-73.9627, 40.7741)	224
(-73.994, 40.751)	225
(-73.9581, 40.7085)	226
(-74.0077, 40.7248)	227
(-73.9676, 40.7628)	228
(-73.9617, 40.7678)	229
(-73.9902, 40.7435)	230
(-73.9516, 40.6904)	231
(-73.9866, 40.7358)	232
(-73.9978, 40.7616)	233
(-73.9579, 40.7603)	234
(-73.9767, 40.7632)	235
(-73.9478, 40.8079)	236
(-73.9902, 40.7138)	237
(-73.9532, 40.7854)	238
(-73.994, 40.7541)	239
(-74.0039, 40.7501)	240
(-73.978, 40.7442)	241
(-73.9467, 40.811)	242
(-73.9902, 40.7466)	243
(-74.0001, 40.7426)	244
(-73.9788, 40.7835)	245
(-73.9788, 40.721)	246
(-73.9704, 40.7589)	247
(-73.9826, 40.7613)	248
(-73.9891, 40.7685)	249
(-74.0067, 40.7134)	250
(-73.9788, 40.7538)	251
(-74.0153, 40.7081)	252
(-73.9968, 40.7502)	253
(-73.9767, 40.6741)	254
(-73.9666, 40.7842)	255
(-73.9609, 40.7702)	256
(-73.9788, 40.7866)	257
(-73.9704, 40.762)	258
(-73.9788, 40.7241)	259
(-73.9826, 40.7644)	260
(-73.993, 40.7427)	261
(-73.9628, 40.7767)	262
(-73.9968, 40.7205)	263
(-73.9571, 40.7627)	264
(-73.9788, 40.7569)	265
(-73.9892, 40.7352)	266
(-73.9816, 40.7499)	267
(-73.9854, 40.7277)	268
(-73.9976, 40.7301)	269
(-73.9865, 40.7386)	270
(-73.959, 40.802)	271
(-73.9466, 40.7998)	272
(-73.9892, 40.768)	273
(-73.7889, 40.6421)	274
(-73.9854, 40.7605)	275
(-73.9854, 40.698)	276
(-73.9656, 40.7728)	277
(-73.9852, 40.7607)	278
(-73.9656, 40.7103)	279
(-73.9892, 40.7383)	280
(-73.9778, 40.7752)	281
(-73.9692, 40.7508)	282
(-73.9419, 40.7952)	283
(-73.9854, 40.7308)	284
(-73.9656, 40.8056)	285
(-73.9354, 40.7146)	286
(-73.9778, 40.7455)	287
(-73.9654, 40.8058)	288
(-73.9702, 40.7602)	289
(-73.9656, 40.7134)	290
(-73.9852, 40.7638)	291
(-74.004, 40.7476)	292
(-73.9694, 40.7537)	293
(-73.974, 40.738)	294
(-73.9816, 40.7561)	295
(-74.016, 40.7065)	296
(-73.9618, 40.7684)	297
(-73.9656, 40.8087)	298
(-73.9616, 40.7686)	299
(-73.9844, 40.7491)	300
(-73.8637, 40.7698)	301
(-74.0038, 40.7369)	302
(-73.9855, 40.76)	303
(-73.958, 40.7609)	304
(-73.9591, 40.7718)	305
(-73.9578, 40.7611)	306
(-73.9504, 40.7756)	307
(-73.9817, 40.69)	308
(-73.9817, 40.7525)	309
(-73.942, 40.6885)	310
(-73.9616, 40.8014)	311
(-74.004, 40.7507)	312
(-73.988, 40.7599)	313
(-73.9806, 40.7744)	314
(-73.9504, 40.7459)	315
(-73.972, 40.75)	316
(-73.9447, 40.7319)	317
(-73.9855, 40.7631)	318
(-73.9842, 40.7524)	319
(-73.9657, 40.7129)	320
(-73.9059, 40.7415)	321
(-73.9342, 40.7362)	322
(-73.9817, 40.7556)	323
(-73.9804, 40.7449)	324
(-73.9619, 40.7679)	325
(-73.973, 40.7594)	326
(-73.9779, 40.7481)	327
(-73.9581, 40.7604)	328
(-73.972, 40.7531)	329
(-73.9619, 40.8007)	330
(-74.003, 40.7393)	331
(-73.9304, 40.7615)	332
(-73.9644, 40.7678)	333
(-73.9845, 40.7189)	334
(-73.9657, 40.591)	335
(-73.9883, 40.7592)	336
(-73.9893, 40.7358)	337
(-73.973, 40.7625)	338
(-73.9619, 40.771)	339
(-74.0028, 40.7286)	340
(-73.9845, 40.7517)	341
(-73.9956, 40.7432)	342
(-74.0039, 40.7395)	343
(-73.8823, 40.7494)	344
(-73.9532, 40.8076)	345
(-73.9532, 40.7451)	346
(-73.9647, 40.7968)	347
(-73.9893, 40.7389)	348
(-73.937, 40.7979)	349
(-73.9845, 40.7548)	350
(-73.9832, 40.7441)	351
(-73.9647, 40.7671)	352
(-73.9893, 40.7717)	353
(-73.9767, 40.7885)	354
(-73.9807, 40.7473)	355
(-73.937, 40.7057)	356
(-73.9731, 40.762)	357
(-73.9533, 40.7743)	358
(-74.0029, 40.7281)	359
(-74.0067, 40.7059)	360
(-73.9647, 40.7702)	361
(-73.8152, 40.6998)	362
(-73.9976, 40.7195)	363
(-73.9892, 40.7574)	364
(-73.989, 40.7576)	365
(-73.7918, 40.7669)	366
(-74.0029, 40.7312)	367
(-73.9457, 40.7921)	368
(-73.9569, 40.8179)	369
(-73.9495, 40.8324)	370
(-73.9919, 40.7383)	371
(-73.9096, 40.7686)	372
(-73.9928, 40.7682)	373
(-73.9759, 40.6659)	374
(-73.9172, 40.8492)	375
(-73.9976, 40.7226)	376
(-73.9533, 40.718)	377
(-73.9928, 40.7385)	378
(-73.9843, 40.7233)	379
(-74.0103, 40.7116)	380
(-73.7916, 40.6452)	381
(-73.9852, 40.7532)	382
(-73.9495, 40.773)	383
(-73.989, 40.731)	384
(-73.9805, 40.7783)	385
(-74.0065, 40.7041)	386
(-73.9721, 40.7537)	387
(-73.9843, 40.7561)	388
(-74.0078, 40.7148)	389
(-73.9457, 40.828)	390
(-73.9918, 40.724)	391
(-73.974, 40.7602)	392
(-73.9852, 40.7235)	393
(-73.9523, 40.766)	394
(-73.9805, 40.7486)	395
(-74.0065, 40.7369)	396
(-73.9805, 40.6861)	397
(-73.9654, 40.7686)	398
(-74.0065, 40.7072)	399
(-73.9523, 40.7066)	400
(-73.992, 40.7706)	401
(-73.988, 40.7493)	402
(-74.0002, 40.7326)	403
(-73.9918, 40.7271)	404
(-73.9616, 40.7611)	405
(-73.9521, 40.7693)	406
(-73.9645, 40.7715)	407
(-73.9855, 40.7525)	408
(-73.9842, 40.7418)	409
(-73.9607, 40.764)	410
(-73.992, 40.7409)	411
(-73.9806, 40.7341)	412
(-73.9918, 40.7599)	413
(-73.9817, 40.6825)	414
(-73.9804, 40.7343)	415
(-73.9817, 40.745)	416
(-73.9418, 40.8062)	417
(-74.0131, 40.7108)	418
(-73.9842, 40.7746)	419
(-73.988, 40.7524)	420
(-73.9682, 40.7647)	421
(-73.9833, 40.7775)	422
(-73.938, 40.7987)	423
(-73.9804, 40.7671)	424
(-73.9918, 40.7302)	425
(-73.9023, 40.756)	426
(-73.9842, 40.7449)	427
(-73.9673, 40.7676)	428
(-73.9768, 40.7594)	429
(-73.988, 40.7227)	430
(-73.8238, 40.7453)	431
(-73.9994, 40.7401)	432
(-74.0093, 40.7361)	433
(-73.9804, 40.6749)	434
(-74.0131, 40.7139)	435
(-73.9842, 40.7152)	436
(-73.9741, 40.7628)	437
(-74.0055, 40.7286)	438
(-73.9682, 40.7678)	439
(-74.0093, 40.7064)	440
(-73.9804, 40.7702)	441
(-74.0066, 40.7395)	442
(-73.9581, 40.8154)	443
(-73.9908, 40.7485)	444
(-74.003, 40.7318)	445
(-73.9532, 40.672)	446
(-73.9644, 40.7603)	447
(-73.9832, 40.7632)	448
(-73.9549, 40.7685)	449
(-73.9929, 40.736)	450
(-74.0066, 40.7098)	451
(-73.9568, 40.775)	452
(-73.9908, 40.7188)	453
(-73.9794, 40.7557)	454
(-73.9845, 40.7442)	455
(-73.9769, 40.7589)	456
(-73.9908, 40.7516)	457
(-73.8663, 40.732)	458
(-73.9408, 40.6729)	459
(-73.9832, 40.7663)	460
(-73.9794, 40.7588)	461
(-74.0094, 40.7059)	462
(-73.9596, 40.7711)	463
(-73.9372, 40.8042)	464
(-73.9571, 40.7743)	465
(-73.9636, 40.7627)	466
(-73.9731, 40.7545)	467
(-73.9919, 40.7574)	468
(-74.0132, 40.7165)	469
(-73.9957, 40.7352)	470
(-73.9655, 40.7692)	471
(-73.9919, 40.7419)	472
(-73.9569, 40.7448)	473
(-73.9881, 40.6874)	474
(-73.9881, 40.7499)	475
(-73.9596, 40.7742)	476
(-73.8859, 40.7476)	477
(-73.9797, 40.7253)	478
(-73.9995, 40.7458)	479
(-73.8777, 40.7368)	480
(-73.9161, 40.7464)	481
(-73.9569, 40.7776)	482
(-73.9881, 40.7202)	483
(-73.9797, 40.7581)	484
(-73.9001, 40.8615)	485
(-73.9438, 40.8406)	486
(-73.9531, 40.7076)	487
(-73.9955, 40.7385)	488
(-73.9881, 40.753)	489
(-73.9797, 40.7909)	490
(-73.9522, 40.773)	491
(-73.9795, 40.7911)	492
(-73.9805, 40.7677)	493
(-73.9843, 40.7455)	494
(-73.9797, 40.7612)	495
(-74.0141, 40.7116)	496
(-73.9795, 40.7614)	497
(-73.9805, 40.738)	498
(-73.8624, 40.7514)	499
(-73.9759, 40.7537)	500
(-73.9757, 40.7539)	501
(-73.9559, 40.7662)	502
